log_id,user_id,username,login_time,logout_time,ip_address,device_type,status,branch_name,role
1,181,stephen10,2025-02-27 08:47:17,2025-02-27 11:47:17,14.136.199.1,Desktop,SUCCESS,Ibadan,Teller
2,175,caseyjones,2025-08-05 08:01:05,2025-08-05 09:01:05,50.236.3.200,Desktop,SUCCESS,Ibadan,Security
3,128,jeffrey28,2025-08-18 17:17:51,2025-08-18 20:17:51,2.196.113.186,Mobile,SUCCESS,Lagos,IT
4,119,amandasanchez,2025-04-21 13:06:05,2025-04-21 19:06:05,56.67.234.143,Mobile,SUCCESS,Port Harcourt,IT
5,203,theresacochran,2025-01-23 15:34:07,,139.35.67.145,Mobile,FAILED,Gusau,IT
6,206,erik16,2025-11-18 17:56:55,2025-11-18 21:56:55,147.66.195.70,Desktop,SUCCESS,Gusau,Ops
7,198,russellwilliams,2025-05-29 09:54:14,2025-05-29 16:54:14,32.6.166.162,Mobile,SUCCESS,Abuja,IT
8,120,ogray,2025-07-09 13:13:42,2025-07-09 15:13:42,45.115.162.16,Desktop,SUCCESS,Port Harcourt,Ops
9,120,ogray,2025-08-25 14:17:59,2025-08-25 18:17:59,26.79.221.159,Mobile,SUCCESS,Gusau,Ops
10,205,kimberly63,2025-01-17 13:25:17,2025-01-17 19:25:17,30.38.44.77,Desktop,SUCCESS,Ibadan,Security
11,150,chapmanjerry,2025-11-26 15:09:16,2025-11-26 20:09:16,158.72.174.176,Mobile,SUCCESS,Port Harcourt,Security
12,146,ibrandt,2025-04-23 10:32:31,2025-04-23 11:32:31,162.183.14.82,Desktop,SUCCESS,Kano,Ops
13,201,kimberly69,2025-12-15 14:38:04,2025-12-15 22:38:04,146.41.142.116,Mobile,SUCCESS,Port Harcourt,Teller
14,187,sarah12,2025-02-28 16:48:17,2025-02-28 22:48:17,13.92.238.93,Desktop,SUCCESS,Lagos,Security
15,120,ogray,2025-08-21 08:46:56,2025-08-21 11:46:56,79.8.22.75,Desktop,SUCCESS,Ibadan,IT
16,207,garrisonjeffrey,2025-11-24 16:38:12,2025-11-24 19:38:12,142.96.131.63,Desktop,SUCCESS,Port Harcourt,IT
17,162,steven17,2025-01-10 09:59:23,2025-01-10 14:59:23,162.91.143.212,Desktop,SUCCESS,Gusau,Ops
18,212,sheila14,2025-10-18 09:05:46,2025-10-18 11:05:46,79.171.128.12,Desktop,SUCCESS,Kano,Security
19,170,smoore,2025-03-26 12:33:55,2025-03-26 16:33:55,196.74.147.123,Desktop,SUCCESS,Ibadan,IT
20,151,adrianzimmerman,2025-12-10 13:28:57,2025-12-10 15:28:57,22.56.208.61,Desktop,SUCCESS,Kano,Teller
21,143,spenceamanda,2025-01-11 17:35:14,2025-01-11 18:35:14,188.73.141.54,Desktop,SUCCESS,Ibadan,Teller
22,129,ddavis,2025-02-04 08:55:21,2025-02-04 12:55:21,23.206.184.118,Mobile,SUCCESS,Ibadan,Security
23,127,zhurst,2025-10-04 10:46:59,2025-10-04 18:46:59,104.22.182.40,Desktop,SUCCESS,Abuja,Security
24,124,jason76,2025-02-18 09:42:27,2025-02-18 16:42:27,211.105.41.194,Mobile,SUCCESS,Ibadan,Teller
25,186,cheryl80,2025-12-01 09:03:25,2025-12-01 11:03:25,183.0.191.32,Desktop,SUCCESS,Kano,Ops
26,168,sara74,2025-08-18 10:27:11,2025-08-18 14:27:11,111.110.203.221,Desktop,SUCCESS,Abuja,Teller
27,106,lisa02,2025-11-30 16:53:00,,79.242.221.81,Desktop,FAILED,Kano,Security
28,162,steven17,2025-09-04 11:55:25,2025-09-04 14:55:25,211.226.43.110,Mobile,SUCCESS,Gusau,Security
29,133,tasha01,2025-08-21 12:27:44,,30.222.91.127,Mobile,FAILED,Kano,Ops
30,137,harrellkenneth,2025-04-22 08:37:47,2025-04-22 14:37:47,148.78.156.20,Desktop,SUCCESS,Gusau,Security
31,164,novaksara,2025-09-29 10:03:32,2025-09-29 13:03:32,201.197.49.247,Desktop,SUCCESS,Port Harcourt,Teller
32,186,cheryl80,2025-05-01 14:07:56,2025-05-01 15:07:56,155.79.184.119,Desktop,SUCCESS,Abuja,IT
33,219,cindy14,2025-05-14 11:42:45,2025-05-14 16:42:45,175.145.59.39,Mobile,SUCCESS,Kano,IT
34,158,dshields,2025-06-11 09:00:29,2025-06-11 11:00:29,223.48.136.113,Desktop,SUCCESS,Port Harcourt,Ops
35,164,novaksara,2025-05-16 10:59:22,2025-05-16 14:59:22,23.233.99.78,Mobile,SUCCESS,Lagos,Ops
36,156,glee,2025-10-06 12:39:51,2025-10-06 13:39:51,171.27.247.129,Mobile,SUCCESS,Ibadan,Teller
37,212,sheila14,2025-03-10 12:07:56,2025-03-10 15:07:56,191.129.209.155,Mobile,SUCCESS,Lagos,Ops
38,191,dking,2025-06-25 11:43:40,2025-06-25 19:43:40,145.147.1.43,Mobile,SUCCESS,Gusau,Teller
39,181,stephen10,2025-08-05 12:02:00,2025-08-05 15:02:00,25.36.175.94,Mobile,SUCCESS,Kano,Security
40,170,smoore,2025-12-28 14:35:00,2025-12-28 17:35:00,117.95.161.171,Desktop,SUCCESS,Lagos,Ops
41,155,esanchez,2025-03-07 08:19:23,2025-03-07 09:19:23,37.40.47.50,Mobile,SUCCESS,Kano,Ops
42,185,mikemoore,2025-02-22 13:49:35,2025-02-22 20:49:35,78.204.252.246,Desktop,SUCCESS,Kano,Ops
43,202,sarayoung,2025-04-01 14:01:11,2025-04-01 20:01:11,41.199.143.184,Mobile,SUCCESS,Ibadan,Ops
44,134,kayla51,2025-03-23 09:24:55,2025-03-23 17:24:55,132.28.83.84,Desktop,SUCCESS,Kano,Security
45,144,davidalvarez,2025-06-06 11:14:01,2025-06-06 18:14:01,53.45.41.32,Mobile,SUCCESS,Lagos,Teller
46,198,russellwilliams,2025-05-23 13:41:32,2025-05-23 19:41:32,7.83.129.113,Desktop,SUCCESS,Gusau,IT
47,122,perezantonio,2025-10-25 12:02:06,2025-10-25 18:02:06,90.227.161.167,Mobile,SUCCESS,Abuja,Teller
48,149,wrightcaleb,2025-10-23 11:16:02,2025-10-23 12:16:02,33.64.2.241,Desktop,SUCCESS,Lagos,Security
49,108,susanrogers,2025-12-07 13:39:20,2025-12-07 15:39:20,220.44.20.214,Mobile,SUCCESS,Port Harcourt,IT
50,185,mikemoore,2025-07-29 13:25:44,2025-07-29 16:25:44,27.65.155.175,Desktop,SUCCESS,Abuja,Security
51,186,cheryl80,2025-03-31 17:36:19,2025-03-31 18:36:19,56.245.138.142,Mobile,SUCCESS,Lagos,Ops
52,155,esanchez,2025-10-24 17:41:20,2025-10-25 01:41:20,169.107.68.250,Desktop,SUCCESS,Port Harcourt,Security
53,201,kimberly69,2025-03-28 09:18:32,2025-03-28 15:18:32,5.195.169.202,Desktop,SUCCESS,Kano,IT
54,128,jeffrey28,2025-04-12 10:01:02,2025-04-12 18:01:02,24.187.226.214,Desktop,SUCCESS,Abuja,Security
55,213,beverlyterrell,2025-11-19 17:12:45,2025-11-20 01:12:45,16.237.197.119,Mobile,SUCCESS,Kano,Ops
56,183,jonesjason,2025-12-19 08:57:48,2025-12-19 10:57:48,57.224.83.7,Mobile,SUCCESS,Kano,Ops
57,202,sarayoung,2025-12-23 16:29:03,2025-12-23 18:29:03,190.244.220.47,Mobile,SUCCESS,Kano,Security
58,185,mikemoore,2025-09-29 16:38:20,,208.220.232.191,Mobile,FAILED,Port Harcourt,Security
59,206,erik16,2025-10-08 15:57:10,2025-10-08 23:57:10,208.222.5.31,Mobile,SUCCESS,Lagos,Ops
60,207,garrisonjeffrey,2025-11-23 12:49:49,2025-11-23 16:49:49,91.110.100.64,Mobile,SUCCESS,Abuja,Teller
61,191,dking,2025-05-27 11:17:21,2025-05-27 13:17:21,93.140.119.167,Desktop,SUCCESS,Kano,Ops
62,149,wrightcaleb,2025-12-22 10:45:13,2025-12-22 17:45:13,98.20.204.213,Mobile,SUCCESS,Port Harcourt,Security
63,153,chad34,2025-02-01 11:53:26,2025-02-01 12:53:26,45.139.215.151,Mobile,SUCCESS,Abuja,Teller
